Mois        Inflation
 2/1/2004   1.4
 3/1/2004   1.2
 4/1/2004   1.1
 5/1/2004   1.4
 6/1/2004   1.5
 7/1/2004   1.4
 8/1/2004   1.4
 9/1/2004   1.2
10/1/2004   1.3
11/1/2004   1.5
12/1/2004   1.8
 1/1/2005   1.7
 2/1/2005   1.7
 3/1/2005   2.0
 4/1/2005   1.9
 5/1/2005   1.9
 6/1/2005   2.0
 7/1/2005   2.3
 8/1/2005   2.4
 9/1/2005   2.5
10/1/2005   2.4
11/1/2005   2.2
12/1/2005   2.1
 1/1/2006   2.2
 2/1/2006   2.2
 3/1/2006   2.0
 4/1/2006   2.2
 5/1/2006   2.4
 6/1/2006   2.6
 7/1/2006   2.5
 8/1/2006   2.6
 9/1/2006   2.5
10/1/2006   2.5
11/1/2006   2.8
12/1/2006   2.9
 1/1/2007   2.7
 2/1/2007   2.7
 3/1/2007   2.9
 4/1/2007   2.7
 5/1/2007   2.5
 6/1/2007   2.5
 7/1/2007   2.0
 8/1/2007   2.0
 9/1/2007   2.0
10/1/2007   2.3
11/1/2007   2.2
12/1/2007   2.3
 1/1/2008   2.4
 2/1/2008   2.6
 3/1/2008   2.6
 4/1/2008   3.0
 5/1/2008   3.3
 6/1/2008   3.7
 7/1/2008   4.2
 8/1/2008   4.4
 9/1/2008   4.8
10/1/2008   4.2
11/1/2008   3.8
12/1/2008   3.0
 1/1/2009   2.9
 2/1/2009   3.1
 3/1/2009   2.8
 4/1/2009   2.3
 5/1/2009   2.1
 6/1/2009   1.7
 7/1/2009   1.6
 8/1/2009   1.4
 9/1/2009   1.0
10/1/2009   1.2
11/1/2009   1.5
12/1/2009   2.1
 1/1/2010   2.6
 2/1/2010   2.1
 3/1/2010   2.4
 4/1/2010   2.7
 5/1/2010   2.5
 6/1/2010   2.4
 7/1/2010   2.3
 8/1/2010   2.4
 9/1/2010   2.4
10/1/2010   2.5
11/1/2010   2.6
12/1/2010   3.1
 1/1/2011   3.4
 2/1/2011   3.7
 3/1/2011   3.5
 4/1/2011   3.8
 5/1/2011   3.8
 6/1/2011   3.6
 7/1/2011   3.8
 8/1/2011   3.9
 9/1/2011   4.5
10/1/2011   4.3
11/1/2011   4.1
12/1/2011   3.7
 1/1/2012   3.2
 2/1/2012   3.1
 3/1/2012   3.1
 4/1/2012   2.8
 5/1/2012   2.5
 6/1/2012   2.3
 7/1/2012   2.4
 8/1/2012   2.3
 9/1/2012   2.1
10/1/2012   2.4
11/1/2012   2.4
12/1/2012   2.4
 1/1/2013   2.4
 2/1/2013   2.5
 3/1/2013   2.5
 4/1/2013   2.2
 5/1/2013   2.4
 6/1/2013   2.6
 7/1/2013   2.5
 8/1/2013   2.4
 9/1/2013   2.4
10/1/2013   2.0
11/1/2013   1.9
12/1/2013   1.9
 1/1/2014   1.8
 2/1/2014   1.6
 3/1/2014   1.5
 4/1/2014   1.7
 5/1/2014   1.5
 6/1/2014   1.8
 7/1/2014   1.6
 8/1/2014   1.5
 9/1/2014   1.3
10/1/2014   1.3
11/1/2014   1.1
12/1/2014   0.7
 1/1/2015   0.5
 2/1/2015   0.4
 3/1/2015   0.3
 4/1/2015   0.3
 5/1/2015   0.4
 6/1/2015   0.3
 7/1/2015   0.5
 8/1/2015   0.4
 9/1/2015   0.2
10/1/2015   0.2
11/1/2015   0.4
12/1/2015   0.5
 1/1/2016   0.6
 2/1/2016   0.6
 3/1/2016   0.8
 4/1/2016   0.7

 5/1/2016   0.7
 6/1/2016   0.8
 7/1/2016   0.9
 8/1/2016   1.0
 9/1/2016   1.3
10/1/2016   1.3
11/1/2016   1.5
12/1/2016   1.8
 1/1/2017   1.9
 2/1/2017   2.3
 3/1/2017   2.3
 4/1/2017   2.6
 5/1/2017   2.7
 6/1/2017   2.6
 7/1/2017   2.6
 8/1/2017   2.7
 9/1/2017   2.8
10/1/2017   2.8
11/1/2017   2.8
12/1/2017   2.7

